,key_0,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error,track_id,track_name,country_x,country_y,c1,c2,c3,c4,c5,c6,Country,Alpha-2,Alpha-3,Continent,Anthem,country_lower,god
108,lebanon,0.41,0.117,7.0,-16.73,1.0,0.037,0.799,0.975,0.351,0.573,83.724,audio_features,3GtvlyJTnXU13BRTdgwylM,spotify:track:3GtvlyJTnXU13BRTdgwylM,https://api.spotify.com/v1/tracks/3GtvlyJTnXU13BRTdgwylM,https://api.spotify.com/v1/audio-analysis/3GtvlyJTnXU13BRTdgwylM,70333.0,4.0,,3GtvlyJTnXU13BRTdgwylM,"Lebanon: ""All of us! For our Country, for our Flag and Glory!…""",Lebanon,lebanon,#ED1C24,#FFFFFF,#01A652,#8ED8B2,#42BD7E,#D7F1E4,Lebanon,LB,LBN,Asia,"All of us! For our Country, for our Glory and Flag! Our valor and our writings are the envy of the ages. Our mountain and our valley, they bring forth stalwart men. And to Perfection we devote our words and labor. All of us! For our Country, for our Glory and Flag! All of us! For our Country Our Elders and our children, they await our Country's call, And on the Day of Crisis they are as Lions of the Jungle. The heart of our East is ever Lebanon, God has preserved him until the end of time. All of us! For our Country, for our Glory and Flag! All of us! For our Country The Gems of the East are his land and sea. Throughout the world his good deeds flow from pole to pole. And his name is his glory since time began. The cedars are his pride, his immortality's symbol. All of us! For our Country, for our Glory and Flag! All of us! For our Country",lebanon,present
109,lesotho,0.392,0.221,10.0,-15.072,1.0,0.0334,0.69,0.499,0.32,0.677,76.658,audio_features,1SqnpSWvzUZKZUmEpzOoIF,spotify:track:1SqnpSWvzUZKZUmEpzOoIF,https://api.spotify.com/v1/tracks/1SqnpSWvzUZKZUmEpzOoIF,https://api.spotify.com/v1/audio-analysis/1SqnpSWvzUZKZUmEpzOoIF,56733.0,3.0,,1SqnpSWvzUZKZUmEpzOoIF,"Lesotho: ""Lesotho, land of our Fathers, you are the most beautiful country of all…"" (arr. P. Breiner)",Lesotho,lesotho,#FFFFFF,#00209F,#009543,#020202,#2E2E2E,#4E4E4E,Lesotho,LS,LSO,Africa,"Lesotho, land of our Fathers, You are the most beautiful country of all. You give us birth, In you we are reared And you are dear to us. Lord, we ask You to protect Lesotho. Keep us free from conflict and tribulation Oh, land of mine, Land of our Fathers, May you have peace. ",lesotho,present
110,liberia,0.316,0.0818,10.0,-17.979,1.0,0.0322,0.972,0.854,0.0952,0.34,103.076,audio_features,04xZgZvFStaI7KOGs8VuMr,spotify:track:04xZgZvFStaI7KOGs8VuMr,https://api.spotify.com/v1/tracks/04xZgZvFStaI7KOGs8VuMr,https://api.spotify.com/v1/audio-analysis/04xZgZvFStaI7KOGs8VuMr,88800.0,4.0,,04xZgZvFStaI7KOGs8VuMr,"Liberia: Liberian Anthem, ""All hail, Liberia, hail!…""",Liberia,liberia,#BF0A30,#FFFFFF,#002868,#EAADBA,#D96C83,#CA3453,Liberia,LR,LBR,Africa,"All hail, Liberia, hail! (All hail!) All hail, Liberia, hail! (All hail!) This glorious land of liberty, Shall long be ours. Though new her name, Green be her fame, And mighty be her powers, And mighty be her powers. In joy and gladness, With our hearts united, We'll shout the freedom, Of a race benighted. Long live Liberia, happy land! A home of glorious liberty, By God's command! A home of glorious liberty, By God's command!   All hail, Liberia, hail! (All hail!) All hail, Liberia, hail! (All hail!) In union strong success is sure. We cannot fail! With God above, Our rights to prove, We will o'er all prevail, We will o'er all prevail! With heart and hand our country's cause defending, We'll meet the foe with valour unpretending. Long live Liberia, happy land! A home of glorious liberty, By God's command! A home of glorious liberty, By God's command!",liberia,present
111,libya,0.403,0.212,7.0,-14.876,1.0,0.0278,0.664,0.818,0.0817,0.513,95.753,audio_features,3rxzgSlXG8sIYPMajR9nFN,spotify:track:3rxzgSlXG8sIYPMajR9nFN,https://api.spotify.com/v1/tracks/3rxzgSlXG8sIYPMajR9nFN,https://api.spotify.com/v1/audio-analysis/3rxzgSlXG8sIYPMajR9nFN,88493.0,4.0,,3rxzgSlXG8sIYPMajR9nFN,"Libya: Libya, Libya, Libya, ""Oh my country"" (2011 onwards) [short version]",Libya,libya,#000000,#E70013,#239E46,#727272,#313131,#505050,Libya,LY,LBY,Africa,"God is greatest! He is above the plots of the aggressors, And He is the best helper of the oppressed. With faith and with weapons I shall defend my country, And the light of truth will shine in my hand. Sing with me! God is greatest! God, God, God is greatest! God is above the aggressors. O World, look up and listen! The enemy's army is coming, Wishing to destroy me. With truth and with my gun I shall repulse him. And should I be killed, I would kill him with me. Sing with me-- Woe to the Imperialists! And God is above the treacherous tyrant. God is greatest! Therefore glorify Him, O my country, And seize the forehead of the tyrant And destroy him! ",libya,present
112,liechtenstein,0.139,0.173,5.0,-17.506,1.0,0.0338,0.884,0.915,0.0977,0.0992,71.268,audio_features,16NXI15cDBZXNppD2o5WFF,spotify:track:16NXI15cDBZXNppD2o5WFF,https://api.spotify.com/v1/tracks/16NXI15cDBZXNppD2o5WFF,https://api.spotify.com/v1/audio-analysis/16NXI15cDBZXNppD2o5WFF,78747.0,4.0,,16NXI15cDBZXNppD2o5WFF,"Liechtenstein: ""High above the young Rhine lies Liechtenstein…""",Liechtenstein,liechtenstein,#CE1126,#002B7F,#BEA12E,#F9D33C,#826E1F,#524615,Liechtenstein,LI,LIE,Europe,"High on the German Rhine Lies Liechtenstein, resting On Alpine heights. This beloved homeland Within the German fatherland Was chosen for us By God's wise hand.",liechtenstein,present
117,madagascar,0.315,0.118,10.0,-19.106,1.0,0.0339,0.9,0.727,0.142,0.343,93.149,audio_features,6Dsvf27EjytW21l696hRGP,spotify:track:6Dsvf27EjytW21l696hRGP,https://api.spotify.com/v1/tracks/6Dsvf27EjytW21l696hRGP,https://api.spotify.com/v1/audio-analysis/6Dsvf27EjytW21l696hRGP,70667.0,4.0,,6Dsvf27EjytW21l696hRGP,"Madagascar: ""O, our beloved fatherland…""",Madagascar,madagascar,#FFFFFF,#007E3A,#FC3D32,,,,Madagascar,MG,MDG,Africa,"O, our beloved fatherland, O, fair Madagascar, Our love will never decay, But will last eternally. O, Lord Creator, do Thou bless This Island of our Fathers, That she may be happy and prosperous For our own satisfaction. O, our beloved fatherland, Let us be thy servant With body, heart and spirit In dear and worthy service. O, our beloved fatherland, May God bless thee, That created all lands; In order He maintains thee.",madagascar,present
118,malawi,0.197,0.0941,5.0,-17.25,1.0,0.0497,0.982,0.875,0.0957,0.0473,66.642,audio_features,3hRhoFIkeaoOBoS6Zo35Kg,spotify:track:3hRhoFIkeaoOBoS6Zo35Kg,https://api.spotify.com/v1/tracks/3hRhoFIkeaoOBoS6Zo35Kg,https://api.spotify.com/v1/audio-analysis/3hRhoFIkeaoOBoS6Zo35Kg,69560.0,4.0,,3hRhoFIkeaoOBoS6Zo35Kg,"Malawi: ""O God bless our land of Malawi, keep it a land of peace…"" (arr. P. Breiner)",Malawi,malawi,#CE1126,#339E35,#000000,#550710,#6D3C23,#8F0C1A,Malawi,MW,MWI,Africa,"O God bless our land of Malawi, Keep it a land of peace. Put down each and every enemy, Hunger, disease, envy. Join together all our hearts as one, That we be free from fear. Bless our leader, each and every one, And Mother Malawi. Our own Malawi, this land so fair, Fertile and brave and free. With its lakes, refreshing mountain air, How greatly blest are we. Hills and valleys, soil so rich and rare, Give us a bounty free. Wood and forest, plains so broad and fair, All-beauteous Malawi. Freedom ever, let us all unite To build up Malawi. With our love, our zeal and loyalty, Bringing our best to her. In time of war, or in time of peace, One purpose and one goal. Men and women serving selflessly In building Malawi.",malawi,present
119,malaysia,0.144,0.309,5.0,-15.563,1.0,0.0393,0.648,0.898,0.0904,0.543,148.481,audio_features,3cCmOupy4944LwUFJK7aH2,spotify:track:3cCmOupy4944LwUFJK7aH2,https://api.spotify.com/v1/tracks/3cCmOupy4944LwUFJK7aH2,https://api.spotify.com/v1/audio-analysis/3cCmOupy4944LwUFJK7aH2,86867.0,4.0,,3cCmOupy4944LwUFJK7aH2,"Malaysia: ""My country, my native land…"" (arr. P. Breiner)",Malaysia,malaysia,#CC0001,#FFFFFF,#010066,#E26E6F,#F1B7B7,#D4A911,Malaysia,MY,MYS,Asia,My motherland The land where my blood has spilt Where the people live United and progressive With God given Blessings of happiness May our King Reign in peace With God given Blessings of happiness May our King Reign in peace,malaysia,present
122,malta,0.205,0.157,9.0,-17.707,1.0,0.0409,0.935,0.656,0.088,0.121,108.558,audio_features,0V3GUT1x9hqfeA89IQ2rxj,spotify:track:0V3GUT1x9hqfeA89IQ2rxj,https://api.spotify.com/v1/tracks/0V3GUT1x9hqfeA89IQ2rxj,https://api.spotify.com/v1/audio-analysis/0V3GUT1x9hqfeA89IQ2rxj,65213.0,3.0,,0V3GUT1x9hqfeA89IQ2rxj,"Malta: L-Innu Malti (Malta Hymn), ""Guard her, O Lord, as ever Thou hast guarded…"" [Olympic version] [arr. P. Breiner]",Malta,malta,#CF142B,#FFFFFF,#A9A29C,#F6A9B5,#D36773,#6F6E6E,Malta,MT,MLT,Europe,"Guard, Lord, forever, as you've done erst and ceasing never, This land whose name we received, our motherly-named Mother. Her you have draped with a light whose grace exceeds all other. On those who govern, sovereign God, bestow understanding, Grant wellness to those who work, largesse to those employing, Make firm, make just all our bonds, the peace we are enjoying.",malta,present
124,mauritius,0.262,0.179,0.0,-16.37,1.0,0.04,0.756,0.852,0.329,0.415,137.026,audio_features,3Qto2972moNyaP4mBxEZTk,spotify:track:3Qto2972moNyaP4mBxEZTk,https://api.spotify.com/v1/tracks/3Qto2972moNyaP4mBxEZTk,https://api.spotify.com/v1/audio-analysis/3Qto2972moNyaP4mBxEZTk,54867.0,3.0,,3Qto2972moNyaP4mBxEZTk,"Mauritius: Motherland, ""Glory to thee, Motherland…"" (arr. P. Breiner)",Mauritius,mauritius,#FFD500,#00A551,#EA2839,#1A206D,,,Mauritius,MU,MUS,Africa,"Glory to thee, Motherland O Motherland of mine Sweet is thy beauty, Sweet is thy fragrance, Around thee we gather As one people, As one nation, In peace, justice and liberty. Beloved Country, May God bless thee For ever and ever.",mauritius,present
125,mexico,0.505,0.108,7.0,-18.092,1.0,0.0375,0.961,0.922,0.149,0.38,127.428,audio_features,1XIzOJF49S3d9k7P732nYc,spotify:track:1XIzOJF49S3d9k7P732nYc,https://api.spotify.com/v1/tracks/1XIzOJF49S3d9k7P732nYc,https://api.spotify.com/v1/audio-analysis/1XIzOJF49S3d9k7P732nYc,84973.0,4.0,,1XIzOJF49S3d9k7P732nYc,"Mexico: Himno Nacional Mexicano, ""Mexicans, at the cry of war…""",Mexico,mexico,#006847,#CE1126,#FFFFFF,#EFB1B7,#593520,#925A2F,Mexico,MX,MEX,North_America,"Mexicans, at the cry of battle lend your swords and bridle; and the earth shall tremble at its core upon the roar of the cannon. Your forehead shall be girded, oh fatherland, with olive garlands by the divine archangel of peace, For in heaven your eternal destiny has been written by the hand of God. But should a foreign enemy Profane your land with his sole, Think, beloved fatherland, that heaven gave you a soldier in each son. War, war without truce against who would attempt to blemish the honor of the fatherland! War, war! The patriotic banners saturate in waves of blood. War, war! On the mount, in the vale The terrifying cannon thunder and the echoes nobly resound to the cries of union! liberty! Fatherland, before your children become unarmed Beneath the yoke their necks in sway, May your countryside be watered with blood, On blood their feet trample. And may your temples, palaces and towers crumble in horrid crash, and their ruins exist saying: The fatherland was made of one thousand heroes here. Fatherland, fatherland, your children swear to exhale their breath in your cause, If the bugle in its belligerent tone should call upon them to struggle with bravery. For you the olive garlands! For them a memory of glory! For you a laurel of victory! For them a tomb of honor!",mexico,present
131,morocco,0.414,0.206,5.0,-17.024,1.0,0.0406,0.93,0.833,0.11,0.196,64.19,audio_features,3GHmScGsa6d6BoKmTkXAKE,spotify:track:3GHmScGsa6d6BoKmTkXAKE,https://api.spotify.com/v1/tracks/3GHmScGsa6d6BoKmTkXAKE,https://api.spotify.com/v1/audio-analysis/3GHmScGsa6d6BoKmTkXAKE,69080.0,4.0,,3GHmScGsa6d6BoKmTkXAKE,"Morocco: Hymne Chérifien (Hymn of the Sharif), ""Fountain of Freedom, Source of Light…"" [2005 arrangement]",Morocco,morocco,#C1272D,#016233,#684230,,,,Morocco,MA,MAR,Africa,"Root of the free, And of the brav Rising place of the Lights Forum of glory and its protector May you perpetuate as its forum and its protector May you live among the homeland As an address for grandeu Filling every garde conveyed by every tongue With the spirit, with the body Your son has come to answer your call In my mouth and in my blood Your love stirred up as light and fire Let?s go brothers! Heading for grandeur Making the world witness that we here perpetually liv With the motto God, homeland, king.",morocco,present
137,new zealand,0.144,0.185,8.0,-15.392,1.0,0.0355,0.91,0.908,0.305,0.364,79.304,audio_features,2zmZAg7Im6K1QK8O6FgH1g,spotify:track:2zmZAg7Im6K1QK8O6FgH1g,https://api.spotify.com/v1/tracks/2zmZAg7Im6K1QK8O6FgH1g,https://api.spotify.com/v1/audio-analysis/2zmZAg7Im6K1QK8O6FgH1g,60347.0,4.0,,2zmZAg7Im6K1QK8O6FgH1g,"New Zealand: God Defend New Zealand, ""God of nations, at Thy feet…"" (arr. P. Breiner)",New Zealand,new zealand,#00247D,#CC142B,#FEFDFE,#546CA8,#DDD9E6,#2E4B95,New Zealand,NZ,NZL,Oceania,"God of Nations at Thy feet, In the bonds of love we meet, Hear our voices, we entreat, God defend our free land. Guard Pacific's triple star From the shafts of strife and war, Make her praises heard afar, God defend New Zealand. Men of every creed and race, Gather here before Thy face, Asking Thee to bless this place, God defend our free land. From dissension, envy, hate, And corruption guard our state, Make our country good and great, God defend New Zealand. Peace, not war, shall be our boast, But, should foes assail our coast, Make us then a mighty host, God defend our free land. Lord of battles in Thy might, Put our enemies to flight, Let our cause be just and right, God defend New Zealand. Let our love for Thee increase, May Thy blessings never cease, Give us plenty, give us peace, God defend our free land. From dishonour and from shame, Guard our country's spotless name, Crown her with immortal fame, God defend New Zealand. May our mountains ever be Freedom's ramparts on the sea, Make us faithful unto Thee, God defend our free land. Guide her in the nations' van, Preaching love and truth to man, Working out Thy glorious plan, God defend New Zealand.",new zealand,present
140,nigeria,0.232,0.0857,5.0,-17.743,1.0,0.0366,0.717,0.982,0.103,0.283,77.164,audio_features,59hciKc6vZUvo4ZSj7cTu3,spotify:track:59hciKc6vZUvo4ZSj7cTu3,https://api.spotify.com/v1/tracks/59hciKc6vZUvo4ZSj7cTu3,https://api.spotify.com/v1/audio-analysis/59hciKc6vZUvo4ZSj7cTu3,70840.0,4.0,,59hciKc6vZUvo4ZSj7cTu3,"Nigeria: ""Arise, O compatriots, Nigeria's call obey…"" (short version)",Nigeria,nigeria,#008751,#FFFFFF,#5AB18E,,,,Nigeria,NG,NGA,Africa,"Arise, O Compatriots Arise, O Compatriots, Nigeria's call obey To serve our Fatherland With love and strength and faith. The labour of our heroes past Shall never be in vain, To serve with heart and might One nation bound in freedom, peace and unity. O God of creation, Direct our noble cause; Guide our Leaders right: Help our Youth the truth to know, In love and honesty to grow, And living just and true, Great lofty heights attain, To build a nation where peace and justice reign. ",nigeria,present
142,norway,0.196,0.186,2.0,-17.367,1.0,0.0418,0.98,0.752,0.0637,0.0633,96.702,audio_features,5yxAHfK3BFQQ1nG2SzejN3,spotify:track:5yxAHfK3BFQQ1nG2SzejN3,https://api.spotify.com/v1/tracks/5yxAHfK3BFQQ1nG2SzejN3,https://api.spotify.com/v1/audio-analysis/5yxAHfK3BFQQ1nG2SzejN3,72800.0,4.0,,5yxAHfK3BFQQ1nG2SzejN3,"Norway: Nasjonalsangen (National Song), ""Yes, we love this country…""",Norway,norway,#EF2B2D,#002868,#FFFFFF,#F68E8F,#BBC6D7,#637CA3,Norway,NO,NOR,Europe,"Yes, we love with fond devotion This our land that looms Rugged, storm-scarred o'er the ocean With her thousand homes. Love her, in our love recalling Those who gave us birth. And old tales which night, in falling, Brings as dreams to earth. Norseman, whatsoe'er thy station, Thank thy God whose power willed and wrought the land's salvation In her darkest hour. All our mothers sought with weeping And our sires in fight, God has fashioned in His keeping Till we gained our right. Yes, we love with fond devotion This our land that looms Rugged, storm-scarred o'er the ocean With her thousand homes. And, as warrior sires have made her Wealth and fame increase, At the call we too will aid her Armed to guard her peace.",norway,present
143,oman,0.534,0.243,10.0,-14.922,1.0,0.127,0.634,0.981,0.164,0.774,74.726,audio_features,7LEAGoqIqzKl3vdID4dvpL,spotify:track:7LEAGoqIqzKl3vdID4dvpL,https://api.spotify.com/v1/tracks/7LEAGoqIqzKl3vdID4dvpL,https://api.spotify.com/v1/audio-analysis/7LEAGoqIqzKl3vdID4dvpL,34147.0,4.0,,7LEAGoqIqzKl3vdID4dvpL,"Oman: The Sultan's Anthem, ""O Lord, protect for us our Majesty the Sultan…"" (Olympic version)",Oman,oman,#DB161B,#FFFFFF,#008000,#E76669,#923A12,#F3B0B2,Oman,OM,OMN,Asia,"O Lord, protect for us His Majesty the Sultan and the people in our land with honor and peace. May he live long, strong and supported, glorified be his leadership. welling to protect him by our soles. O Oman, since the time of the Prophet We are a dedicated people amongst the noblest Arabs. Be happy! Qaboos has come may the heaven bless him Be cheerful and commend him to the protection of our prayers.",oman,present
144,pakistan,0.379,0.257,10.0,-17.315,1.0,0.0272,0.562,0.977,0.368,0.473,36.468,audio_features,2HshZVTAZsAQNBwcRqkEbg,spotify:track:2HshZVTAZsAQNBwcRqkEbg,https://api.spotify.com/v1/tracks/2HshZVTAZsAQNBwcRqkEbg,https://api.spotify.com/v1/audio-analysis/2HshZVTAZsAQNBwcRqkEbg,92893.0,4.0,,2HshZVTAZsAQNBwcRqkEbg,"Pakistan: Qaumī Tarāna (National Anthem), ""Blessed be the sacred land…"" [arr. P. Breiner]",Pakistan,pakistan,#01411C,#FFFFFF,#82A18F,#DDE6E1,#47755A,#235A3A,Pakistan,PK,PAK,Asia,"Blessed be the sacred land, Happy be the bounteous realm. Thou symbol of high resolve, O Land of Pakistan! Blessed be the citadel of faith. The order of this sacred land, The might of the brotherhood of the people, May the nation, the country, and the state, Shine in glory everlasting! Blessed be the goal of our ambition. The flag of the crescent and star, Leads the way to progress and perfection, Interpreter of our past, glory of our present, inspiration for our future! Shade of God, the Glorious and Mighty.",pakistan,present
147,papua new guinea,0.582,0.15,7.0,-13.852,1.0,0.0347,0.959,0.976,0.0886,0.602,74.714,audio_features,4QAL2eMaoaLmxekK4vMzGk,spotify:track:4QAL2eMaoaLmxekK4vMzGk,https://api.spotify.com/v1/tracks/4QAL2eMaoaLmxekK4vMzGk,https://api.spotify.com/v1/audio-analysis/4QAL2eMaoaLmxekK4vMzGk,60333.0,4.0,,4QAL2eMaoaLmxekK4vMzGk,"Papua New Guinea: ""O arise all you sons of this land…"" (Olympic version) [arr. P. Breiner]",Papua New Guinea,papua new guinea,#000000,#CE1126,#FCD016,#EC8F1B,#DC4D21,#6E0914,Papua New Guinea,PG,PNG,Oceania,"O arise all you sons of this land, Let us sing of our joy to be free, Praising God and rejoicing to be Papua New Guinea. Shout our name from the mountains to the seas Papua New Guinea; Let us raise our voices and proclaim Papua New Guinea. Now give thanks to the good Lord above For His kindness, His wisdom and love For this land of our fathers so free, Papua New Guinea. Shout again for the whole world to hear Papua New Guinea; We are independent and we're free Papua New Guinea.",papua new guinea,present
148,paraguay,0.35,0.246,5.0,-17.025,1.0,0.07,0.856,0.939,0.355,0.667,67.859,audio_features,2YgkKbuVz5zJNkRMlUC2wA,spotify:track:2YgkKbuVz5zJNkRMlUC2wA,https://api.spotify.com/v1/tracks/2YgkKbuVz5zJNkRMlUC2wA,https://api.spotify.com/v1/audio-analysis/2YgkKbuVz5zJNkRMlUC2wA,90987.0,4.0,,2YgkKbuVz5zJNkRMlUC2wA,"Paraguay: ""For three centuries a reign oppressed the unhappy peoples of America…"" (Olympic version)",Paraguay,paraguay,#0038A8,#D52B1E,#FFFFFF,#ABBDE2,#F1B8B4,#309556,Paraguay,PY,PRY,South_America,"The peoples of the Americas, unfortunately, Were oppressed for three centuries by a scepter But one magnificent day surging forth, ""Enough!"", it said, and the scepter was broken. Our fathers, grandiose in battle, Showed their martial glory; And after smashing the august diadem, The triumphal cap was raised. Paraguayans: Republic or Death! Our spirit gave us liberty Neither oppressors nor slaves exist Where union and equality reign. A new Rome, the Fatherland shall proudly display Two leaders of name and valor Who, rivals, like Romulus and Remus Divided government and power. These long years when, during which Phoebus in the clouds Saw darken the pearl of the South, Today a grand hero appears Raising up again her glory and virtue, Europe and the entire world to her Gives salutes and also acclaimations To that invincible bastion of heroism, The magnificent Eden of riches. When discord rumbled all around Which fatally devoured other Peoples, Paraguayans, the sacred ground Was covered by an angel with its wings. Oh, how pure, of laurel girded Sweet Fatherland, in this manner you show yourself. In your ensign one sees the colors Of sapphire, diamond, and ruby. In your coat of arms, which the Sun illuminates, Under the cap, one sees the lion. Double image of the strong and the free, And of glories, the memory and crest. From the tomb of vile feudalism The national Deity rises free; Oppressors, bend your knees! Compatriots, entone the hymn! Sound the cry, ""Republic or death""! Our breasts exhale it with faith, And the mountains repeat its echoes Like giants arising in the land. Our Fatherland defends liberty and justice; So tyrants: listen! The laws in its sacred charter Will sustain its heroism in the fight. Against the world, if the world opposes it, If the world dares to insult her security, Battling to avenge we shall know her Or die embracing her. Arise, oh People, your splendid sword That strikes with sparkles of God, There is no middle ground between free or slave And an abyss divides the two. In the gentle breezes the Hymn resounds, Repeating with triumphal echo: For the free, renowned glory! For the Fatherland, immortal laurel!",paraguay,present
149,peru,0.512,0.0818,5.0,-20.214,1.0,0.0374,0.942,0.882,0.0544,0.311,113.576,audio_features,2kr4EfhDEsdJjyhJKWp4Ih,spotify:track:2kr4EfhDEsdJjyhJKWp4Ih,https://api.spotify.com/v1/tracks/2kr4EfhDEsdJjyhJKWp4Ih,https://api.spotify.com/v1/audio-analysis/2kr4EfhDEsdJjyhJKWp4Ih,160053.0,4.0,,2kr4EfhDEsdJjyhJKWp4Ih,"Peru: Peru [Himno Nacional del Peru (National Anthem of Peru), ""For a long time the Peruvian…""]",Peru,peru,#D91023,#FFFFFF,,,,,Peru,PE,PER,South_America,"We are free! May we always be so, may we always be so! And may the Sun renounce its light, its light, its light, Before we break the solemn vow which the homeland lifted up to the Eternal, Before we break the solemn vow which the homeland lifted up to the Eternal. Before we break the solemn vow which the homeland lifted up to the Eternal. For a long time the oppressed Peruvian the ominous chain he dragged Condemned to a cruel servitude for a long time, for a long time for a long time he quietly moaned But as soon as the sacred cry Freedom! in its coasts was heard the slaves' indolence shakes the humiliated, the humiliated, the humiliated neck raised up, the humiliated neck raised up, neck raised up We are free! May we always be so, may we always be so! And may the Sun renounce its light, its light, its light, Before we break the solemn vow which the homeland lifted up to the Eternal, Before we break the solemn vow which the homeland lifted up to the Eternal. Before we break the solemn vow which the homeland lifted up to the Eternal. Now the roar of rough chains that we had heard for three centuries of horror from the free, at the sacred cry that the world heard astonished, ceased. Everywhere the inflamed San Martín ""Freedom"", ""Freedom"" he pronounced; and the Andes, rocking their base, announced it as well, in unison. With its influx the peoples woke up, and like lighting ran the opinion; from the Isthmus to the Tierra del Fuego, and from Tierra del Fuego to the icy regions. Everyone vowed to break the link that Nature denied to both worlds, and break the sceptre that Spain had reclined, proudly, on both. Lima fulfilled this solemn vow, and, severe, its anger showed by throwing out the powerless tyrant, who had been trying to extend his oppression. On its endeavor the shackles cracked, and the furrows that it had repaired in itself stirred up its hatred and vengeance, inherited from its Inca and Lord. Countrymen, may we see it a slave no more. If for three centuries it moaned, humiliated, forever may we swear it'd be free, maintaining its own splendor. Our arms, until today unarmed, be they always readying the cannon, that some day the beaches of Iberia will feel the horror of its roar. May we arouse the jealousy of Spain since it has a premonition, with want and furor, that in a contest of great nations our country will enter in comparison. On the list formed by these we shall fill the line first, ahead of the ambitious Iberian tyrant, who devastated all of America. On its summits may the Andes sustain the two-color flag or standard, may it announce to the centuries the effort that being free, that being free that being free gave us forever. Under its shadow may we live calmly and, at birth of the sun in its summits, may we all renew the great oath that we rendered, that we rendered that we rendered to the God of Jacob, that we rendered to the God of Jacob, the God of Jacob. We are free! May we always be so, may we always be so! And may the Sun renounce its light, its light, its light, Before we break the solemn vow which the homeland lifted up to the Eternal, Before we break the solemn vow which the homeland lifted up to the Eternal. Before we break the solemn vow which the homeland lifted up to the Eternal.",peru,present
151,poland,0.51,0.283,5.0,-12.201,1.0,0.0376,0.797,0.32,0.0506,0.714,113.868,audio_features,4buuniSDD5BmhtpJKlZI4b,spotify:track:4buuniSDD5BmhtpJKlZI4b,https://api.spotify.com/v1/tracks/4buuniSDD5BmhtpJKlZI4b,https://api.spotify.com/v1/audio-analysis/4buuniSDD5BmhtpJKlZI4b,45853.0,3.0,,4buuniSDD5BmhtpJKlZI4b,"Poland: Poland [Mazurek Dabrowskiego (Dombrowski's Mazurka), ""Poland has not yet succumbed…""]",Poland,poland,#FFFFFF,#DC143C,,,,,Poland,PL,POL,Europe,"Poland has not yet died, So long as we still live. What the foreign power has seized from us, We shall recapture with a sabre. March, march, Dabrowski, To Poland from the Italian land. Under your command We shall rejoin the nation. We'll cross the Vistula, we'll cross the Warta, We shall be Polish. Bonaparte has given us the example Of how we should prevail. Like Czarniecki to PoznaÃ…â€ž Returned across the sea To save his homeland After the Swedish partition. The German nor the Muscovite will settle When, with a backsword in hand, ""Concord"" will be everybody's watchword And so will be our fatherland. A father, in tears, Says to his Basia Listen, our boys are said To be beating the tarabans. All exclaim in unison, ""Enough of this captivity!"" We've got the scythes of RacÃ…â€šawice, KoÃ…â€ºciuszko, if God wills.",poland,present
157,rwanda,0.307,0.365,7.0,-15.113,1.0,0.04,0.825,0.9,0.195,0.343,74.37,audio_features,6biVq2aEnyL3r3OdMwolj9,spotify:track:6biVq2aEnyL3r3OdMwolj9,https://api.spotify.com/v1/tracks/6biVq2aEnyL3r3OdMwolj9,https://api.spotify.com/v1/audio-analysis/6biVq2aEnyL3r3OdMwolj9,84507.0,4.0,,6biVq2aEnyL3r3OdMwolj9,"Rwanda: Rwanda [""Beautiful Rwanda our Motherland…""] (2001 onwards) (Olympic version)",Rwanda,rwanda,#00A1DE,#FAD201,#20603D,#81B162,#40A9A0,#C2BA22,Rwanda,RW,RWA,Africa,"Rwanda, our beautiful and dear country Adorned of hills, lakes and volcanoes Motherland, would be always filled of happiness Us all your children: Abanyarwanda Let us sing your glare and proclaim your high facts You, maternal bosom of us all Would be admired forever, prosperous and cover of praises. Invaluable heritage, that God protects to you You filled us priceless goods Our common culture identifies us Our single language unifies us That our intelligence, our conscience and our forces Fill you with varied riches For an unceasingly renewed development. Our valorous ancestors Gave themselves bodies and souls As far as making you a big nation You overcame the colonial-imperialistic yoke That has devastated Africa entirely And has your joy of your sovereign independence Acquired that constantly we will defend. Maintain this cape, beloved Rwanda, Standing, we commit for you So that peace reigns countrywide That you are free of all hindrance That your determination hires progress That you have excellent relations with all countries And that finally your pride is worth your esteem. ",rwanda,present
